"","icpsr","bioname","state_abbrev","party_code","district_code","num","congress","state","ID"
"1","2","ABBITT, Watkins Moorman","VA","Democrat","4","4","84","Virginia","051083089004"
"2","13","ABERNETHY, Thomas Gerstle","MS","Democrat","1","5","84","Mississippi","028083084001"
"3","18","ADAIR, Edwin Ross","IN","Republican","4","4","84","Indiana","018078089004"
"4","82","ALEXANDER, Hugh Quincy","NC","Democrat","9","5","84","North Carolina","037078087009"
"5","93","ALGER, Bruce Reynolds","TX","Republican","5","5","84","Texas","048083085005"
"6","158","ANDERSEN, Herman Carl","MN","Republican","7","6","84","Minnesota","027074087007"
"7","188","ANDRESEN, August Herman","MN","Republican","1","2","84","Minnesota","027074087001"
"8","195","ANDREWS, George William","AL","Democrat","3","4","84","Alabama","001073087003"
"9","226","ARENDS, Leslie Cornelius","IL","Republican","17","1","84","Illinois","017083087017"
"10","270","ASHMORE, Robert Thomas","SC","Democrat","4","4","84","South Carolina","045073088004"
"11","339","BAILEY, Cleveland Monroe","WV","Democrat","3","5","84","West Virginia","054083087003"
"12","364","BAKER, Howard Henry","TN","Republican","2","1","84","Tennessee","047083089002"
"13","431","BARDEN, Graham Arthur","NC","Democrat","3","6","84","North Carolina","037078087003"
"14","504","BASS, Ross","TN","Democrat","6","3","84","Tennessee","047083089006"
"15","521","BAUMHART, Albert David, Jr.","OH","Republican","13","3","84","Ohio","039083087013"
"16","550","BEAMER, John Valentine","IN","Republican","5","5","84","Indiana","018078089005"
"17","590","BELCHER, Page Henry","OK","Republican","1","5","84","Oklahoma","040083090001"
"18","608","BELL, John Junior","TX","Democrat","14","4","84","Texas","048083085014"
"19","639","BENNETT, John Bonifas","MI","Republican","12","5","84","Michigan","026083087012"
"20","652","BENTLEY, Alvin Morell","MI","Republican","8","2","84","Michigan","026083087008"
"21","672","BERRY, Ellis Yarnal","SD","Republican","2","6","84","South Dakota","046073089002"
"22","680","BETTS, Jackson Edward","OH","Republican","8","4","84","Ohio","039083087008"
"23","798","BLITCH, Iris Faircloth","GA","Democrat","8","4","84","Georgia","013073088008"
"24","846","BONNER, Herbert Covington","NC","Democrat","1","4","84","North Carolina","037078087001"
"25","868","BOSCH, Albert Henry","NY","Republican","5","5","84","New York","036083087005"
"26","891","BOW, Frank Townsend","OH","Republican","16","6","84","Ohio","039083087016"
"27","986","BRAY, William Gilmer","IN","Republican","7","4","84","Indiana","018078089007"
"28","1081","BROOKS, Overton","LA","Democrat","4","5","84","Louisiana","022063090004"
"29","1104","BROWN, Clarence J.","OH","Republican","7","5","84","Ohio","039083087007"
"30","1152","BROWNSON, Charles Bruce","IN","Republican","11","4","84","Indiana","018078089011"
"31","1215","BUDGE, Hamer Harold","ID","Republican","2","5","84","Idaho","016066089002"
"32","1254","BURDICK, Usher Lloyd","ND","Republican","0","6","84","North Dakota","038073087000"
"33","1282","BURLESON, Omar Truman","TX","Democrat","17","1","84","Texas","048083085017"
"34","1328","BUSH, Alvin Ray","PA","Republican","17","1","84","Pennsylvania","042084087017"
"35","1371","BYRNES, John William","WI","Republican","8","1","84","Wisconsin","055073088008"
"36","1512","CARLYLE, Frank Ertel","NC","Democrat","7","5","84","North Carolina","037078087007"
"37","1610","CEDERBERG, Elford Albin","MI","Republican","10","2","84","Michigan","026083087010"
"38","1667","CHASE, Jackson Burton","NE","Republican","2","4","84","Nebraska","031078087002"
"39","1684","CHENOWETH, John Edgar","CO","Republican","3","1","84","Colorado","008068088003"
"40","1722","CHURCH, Marguerite Stitt","IL","Republican","13","5","84","Illinois","017083087013"
"41","1839","CLEVENGER, Cliff","OH","Republican","5","6","84","Ohio","039083087005"
"42","1952","COLMER, William Meyers","MS","Democrat","6","4","84","Mississippi","028083084006"
"43","2032","COOLEY, Harold Dunbar","NC","Democrat","4","2","84","North Carolina","037078087004"
"44","2038","COON, Samuel Harrison","OR","Republican","2","4","84","Oregon","041078089002"
"45","2227","CRUMPACKER, Shepard J., Jr.","IN","Republican","3","6","84","Indiana","018078089003"
"46","2256","CUNNINGHAM, Paul Harvey","IA","Republican","5","1","84","Iowa","019078087005"
"47","2275","CURTIS, Thomas Bradford","MO","Republican","2","1","84","Missouri","029083087002"
"48","2298","DAGUE, Paul Bartram","PA","Republican","9","1","84","Pennsylvania","042084087009"
"49","2383","DAVIS, Glenn Robert","WI","Republican","2","4","84","Wisconsin","055073088002"
"50","2389","DAVIS, James Curran","GA","Democrat","5","1","84","Georgia","013073088005"
"51","2430","DAWSON, William Adams","UT","Republican","2","1","84","Utah","049064089002"
"52","2490","DEMPSEY, John Joseph","NM","Democrat","0","4","84","New Mexico","035078090000"
"53","2588","DIES, Martin, Jr.","TX","Democrat","0","6","84","Texas","048083085000"
"54","2616","DIXON, Henry Aldous","UT","Republican","1","1","84","Utah","049064089001"
"55","2647","DOLLIVER, James Isaac","IA","Republican","6","1","84","Iowa","019078087006"
"56","2653","DONDERO, George Anthony","MI","Republican","18","5","84","Michigan","026083087018"
"57","2672","DORN, William Jennings Bryan","SC","Democrat","3","5","84","South Carolina","045073088003"
"58","2700","DOWDY, John Vernard","TX","Democrat","7","6","84","Texas","048083085007"
"59","2791","DURHAM, Carl Thomas","NC","Democrat","6","1","84","North Carolina","037078087006"
"60","3171","FISHER, Ovie Clark","TX","Democrat","21","5","84","Texas","048083085021"
"61","3197","FJARE, Orvin Benonie","MT","Republican","2","5","84","Montana","030066089002"
"62","3242","FLYNT, John James, Jr.","GA","Democrat","4","5","84","Georgia","013073088004"
"63","3286","FORRESTER, Elijah Lewis","GA","Democrat","3","2","84","Georgia","013073088003"
"64","3321","FOUNTAIN, Lawrence H.","NC","Democrat","2","3","84","North Carolina","037078087002"
"65","3510","GAVIN, Leon Harry","PA","Republican","23","4","84","Pennsylvania","042084087023"
"66","3529","GENTRY, Brady Preston","TX","Democrat","3","6","84","Texas","048083085003"
"67","3534","GEORGE, Myron Virgil","KS","Republican","3","1","84","Kansas","020078087003"
"68","3754","GRANT, George McInvale","AL","Democrat","2","4","84","Alabama","001073087002"
"69","3769","GRAY, Kenneth James","IL","Democrat","25","5","84","Illinois","017083087025"
"70","3853","GROSS, Harold Royce","IA","Republican","3","7","84","Iowa","019078087003"
"71","3888","GWINN, Ralph Waldo","NY","Republican","27","4","84","New York","036083087027"
"72","3929","HALEY, James Andrew","FL","Democrat","7","4","84","Florida","012083087007"
"73","4031","HAND, Thomas Millet","NJ","Republican","2","5","84","New Jersey","034073087002"
"74","4050","HARDEN, Cecil Murray","IN","Republican","6","1","84","Indiana","018078089006"
"75","4125","HARRISON, Burr Powell","VA","Democrat","7","4","84","Virginia","051083089007"
"76","4134","HARRISON, Robert Dinsmore","NE","Republican","3","5","84","Nebraska","031078087003"
"77","4165","HARVEY, Ralph","IN","Republican","10","3","84","Indiana","018078089010"
"78","4311","HENDERSON, John Earl","OH","Republican","15","5","84","Ohio","039083087015"
"79","4354","HERLONG, Albert Sydney, Jr.","FL","Democrat","5","4","84","Florida","012083087005"
"80","4373","HESS, William Emil","OH","Republican","2","1","84","Ohio","039083087002"
"81","4388","HIESTAND, Edgar Willard","CA","Republican","21","4","84","California","006083087021"
"82","4429","HILL, William Silas","CO","Republican","2","1","84","Colorado","008068088002"
"83","4482","HOEVEN, Charles Bernard","IA","Republican","8","5","84","Iowa","019078087008"
"84","4487","HOFFMAN, Clare Eugene","MI","Republican","4","7","84","Michigan","026083087004"
"85","4493","HOFFMAN, Richard William","IL","Republican","10","4","84","Illinois","017083087010"
"86","4543","HOLT, Joseph Franklin, III","CA","Republican","22","1","84","California","006083087022"
"87","4579","HORAN, Walter Franklin (Walt)","WA","Republican","5","1","84","Washington","053083085005"
"88","4724","HULL, William Raleigh, Jr.","MO","Democrat","6","2","84","Missouri","029083087006"
"89","4846","JACKSON, Donald Lester","CA","Republican","16","1","84","California","006083087016"
"90","4917","JENKINS, Thomas Albert","OH","Republican","10","1","84","Ohio","039083087010"
"91","4927","JENNINGS, William Pat","VA","Democrat","9","4","84","Virginia","051083089009"
"92","4928","JENSEN, Benton Franklin","IA","Republican","7","5","84","Iowa","019078087007"
"93","4935","JOHANSEN, August Edgar","MI","Republican","3","5","84","Michigan","026083087003"
"94","5019","JONAS, Charles Raper","NC","Republican","10","4","84","North Carolina","037078087010"
"95","5071","JONES, Woodrow Wilson","NC","Democrat","11","6","84","North Carolina","037078087011"
"96","5112","KEARNS, Carroll Dudley","PA","Republican","24","1","84","Pennsylvania","042084087024"
"97","5235","KILBURN, Clarence Evans","NY","Republican","33","1","84","New York","036083087033"
"98","5241","KILGORE, Joe Madison","TX","Democrat","15","4","84","Texas","048083085015"
"99","5267","KING, Karl Clarence","PA","Republican","8","5","84","Pennsylvania","042084087008"
"100","5349","KNOX, Victor Alfred","MI","Republican","11","5","84","Michigan","026083087011"
"101","5410","LAIRD, Melvin Robert","WI","Republican","7","5","84","Wisconsin","055073088007"
"102","5436","LANDRUM, Phillip Mitchell","GA","Democrat","9","5","84","Georgia","013073088009"
"103","5694","LIPSCOMB, Glenard Paul","CA","Republican","24","2","84","California","006083087024"
"104","5757","LONG, George Shannon","LA","Democrat","8","4","84","Louisiana","022063090008"
"105","5803","LOVRE, Harold Orrin","SD","Republican","1","4","84","South Dakota","046073089001"
"106","5885","MACK, Russell Vernon","WA","Republican","3","4","84","Washington","053083085003"
"107","5998","MARSHALL, Fred","MN","Democrat","6","2","84","Minnesota","027074087006"
"108","6061","MASON, Noah Morgan","IL","Republican","15","7","84","Illinois","017083087015"
"109","6204","McCULLOCH, William Moore","OH","Republican","4","5","84","Ohio","039083087004"
"110","6220","McDONOUGH, Gordon Leo","CA","Republican","15","2","84","California","006083087015"
"111","6262","McGREGOR, J. Harry","OH","Republican","17","6","84","Ohio","039083087017"
"112","6276","McINTIRE, Clifford Guy","ME","Republican","3","5","84","Maine","023073087003"
"113","6353","McMILLAN, John Lanneau","SC","Democrat","6","4","84","South Carolina","045073088006"
"114","6389","McVEY, William Estus","IL","Republican","4","5","84","Illinois","017083087004"
"115","6474","MILLER, Arthur Lewis","NE","Republican","4","5","84","Nebraska","031078087004"
"116","6481","MILLER, Edward Tylor","MD","Republican","1","1","84","Maryland","024083087001"
"117","6532","MILLS, Wilbur Daigh","AR","Democrat","2","4","84","Arkansas","005083087002"
"118","6765","MOULDER, Morgan Moore","MO","Democrat","11","4","84","Missouri","029083087011"
"119","6795","MUMMA, Walter Mann","PA","Republican","16","1","84","Pennsylvania","042084087016"
"120","6863","NELSON, Charles Pembroke","ME","Republican","2","3","84","Maine","023073087002"
"121","6922","NICHOLSON, Donald William","MA","Republican","9","6","84","Massachusetts","025078087009"
"122","6958","NORRELL, William Frank","AR","Democrat","6","3","84","Arkansas","005083087006"
"123","7044","O'HARA, Joseph Patrick","MN","Republican","2","3","84","Minnesota","027074087002"
"124","7046","O'KONSKI, Alvin Edward","WI","Republican","10","6","84","Wisconsin","055073088010"
"125","7228","PASSMAN, Otto Ernest","LA","Democrat","5","3","84","Louisiana","022063090005"
"126","7232","PATMAN, John William Wright","TX","Democrat","1","1","84","Texas","048083085001"
"127","7415","PHILLIPS, John","CA","Republican","29","5","84","California","006083087029"
"128","7498","POAGE, William Robert","TX","Democrat","11","2","84","Texas","048083085011"
"129","7500","POFF, Richard Harding","VA","Republican","6","1","84","Virginia","051083089006"
"130","7506","POLK, James Gould","OH","Democrat","6","2","84","Ohio","039083087006"
"131","7777","REECE, Brazilla Carroll","TN","Republican","1","4","84","Tennessee","047083089001"
"132","7779","REED, Chauncey William","IL","Republican","14","3","84","Illinois","017083087014"
"133","7781","REED, Daniel Alden","NY","Republican","43","3","84","New York","036083087043"
"134","7799","REES, Edward Herbert","KS","Republican","4","3","84","Kansas","020078087004"
"135","7845","RHODES, John Jacob","AZ","Republican","1","1","84","Arizona","004081087001"
"136","7925","RIVERS, Lucius Mendel","SC","Democrat","1","1","84","South Carolina","045073088001"
"137","7969","ROBESON, Edward John, Jr.","VA","Democrat","1","4","84","Virginia","051083089001"
"138","8024","ROGERS, Edith Nourse","MA","Republican","5","1","84","Massachusetts","025078087005"
"139","8032","ROGERS, Paul Grant","FL","Democrat","6","4","84","Florida","012083087006"
"140","8035","ROGERS, Walter Edward","TX","Democrat","18","5","84","Texas","048083085018"
"141","8147","RUTHERFORD, J. T.","TX","Democrat","16","5","84","Texas","048083085016"
"142","8247","SAYLOR, John Phillips","PA","Republican","22","5","84","Pennsylvania","042084087022"
"143","8258","SCHENCK, Paul Fornshell","OH","Republican","3","1","84","Ohio","039083087003"
"144","8260","SCHERER, Gordon Harry","OH","Republican","1","4","84","Ohio","039083087001"
"145","8318","SCRIVNER, Errett Power","KS","Republican","2","4","84","Kansas","020078087002"
"146","8426","SHEEHAN, Timothy Patrick","IL","Republican","11","5","84","Illinois","017083087011"
"147","8484","SHORT, Dewey Jackson","MO","Republican","7","5","84","Missouri","029083087007"
"148","8495","SHUFORD, George Adams","NC","Democrat","12","4","84","North Carolina","037078087012"
"149","8507","SIKES, Robert Lee Fulton","FL","Democrat","3","5","84","Florida","012083087003"
"150","8508","SILER, Eugene","KY","Republican","8","7","84","Kentucky","021083084008"
"151","8533","SIMPSON, Sidney Elmer","IL","Republican","20","4","84","Illinois","017083087020"
"152","8636","SMITH, Howard Worth","VA","Democrat","8","5","84","Virginia","051083089008"
"153","8663","SMITH, Lawrence Henry","WI","Republican","1","6","84","Wisconsin","055073088001"
"154","8709","SMITH, Wint","KS","Republican","6","6","84","Kansas","020078087006"
"155","9144","TABER, John","NY","Republican","36","1","84","New York","036083087036"
"156","9168","TALLE, Henry Oscar","IA","Republican","2","5","84","Iowa","019078087002"
"157","9203","TAYLOR, Dean Park","NY","Republican","31","1","84","New York","036083087031"
"158","9241","TEAGUE, Olin Earl","TX","Democrat","6","3","84","Texas","048083085006"
"159","9284","THOMAS, Albert","TX","Democrat","8","4","84","Texas","048083085008"
"160","9338","THOMPSON, Ruth","MI","Republican","9","5","84","Michigan","026083087009"
"161","9339","THOMPSON, Theo Ashton","LA","Democrat","7","3","84","Louisiana","022063090007"
"162","9350","THOMSON, Edwin Keith","WY","Republican","1","3",NA,NA,NA
"163","9494","TUCK, William Munford","VA","Democrat","5","5","84","Virginia","051083089005"
"164","9578","UTT, James Boyd","CA","Republican","28","6","84","California","006083087028"
"165","9627","VAN PELT, William Kaiser","WI","Republican","6","5","84","Wisconsin","055073088006"
"166","9645","VAN ZANDT, James Edward","PA","Republican","20","2","84","Pennsylvania","042084087020"
"167","9657","VELDE, Harold Himmel","IL","Republican","18","1","84","Illinois","017083087018"
"168","9693","VURSELL, Charles Wesley","IL","Republican","23","1","84","Illinois","017083087023"
"169","9895","WEAVER, Phillip Hart","NE","Republican","1","4","84","Nebraska","031078087001"
"170","9968","WESTLAND, Alfred John (Jack)","WA","Republican","2","1","84","Washington","053083085002"
"171","9978","WHARTON, James Ernest","NY","Republican","29","5","84","New York","036083087029"
"172","10075","WHITTEN, Jamie Lloyd","MS","Democrat","2","4","84","Mississippi","028083084002"
"173","10092","WIER, Roy William","MN","Democrat","3","3","84","Minnesota","027074087003"
"174","10162","WILLIAMS, John Bell","MS","Democrat","4","6","84","Mississippi","028083084004"
"175","10191","WILLIAMS, William Robert","NY","Republican","34","4","84","New York","036083087034"
"176","10201","WILLIS, Edwin Edward","LA","Democrat","3","3","84","Louisiana","022063090003"
"177","10212","WILSON, Earl","IN","Republican","9","2","84","Indiana","018078089009"
"178","10279","WINSTEAD, William Arthur","MS","Democrat","5","4","84","Mississippi","028083084005"
"179","10299","WITHROW, Gardner Robert","WI","Republican","3","6","84","Wisconsin","055073088003"
"180","10303","WOLCOTT, Jesse Paine","MI","Republican","7","2","84","Michigan","026083087007"
"181","10314","WOLVERTON, Charles Anderson","NJ","Republican","1","1","84","New Jersey","034073087001"
"182","10437","YOUNG, Clarence Clifton","NV","Republican","0","2","84","Nevada","032042097000"
